jurisdictionId,state,printedPathwayIn,drawnPathwayIn,classification
"al-jefferson-birmingham","AL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"al-mobile-mobile","AL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"al-madison-huntsville","AL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"az-maricopa-phoenix","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-maricopa-scottsdale","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-maricopa-mesa","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-maricopa-chandler","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-maricopa-tempe","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-pima-tucson","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"az-pima-county","AZ","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"ca-los-angeles-la","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-los-angeles-long-beach","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-los-angeles-county","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-san-diego-san-diego","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-san-diego-county","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-orange-anaheim","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-orange-irvine","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-riverside-riverside","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-sacramento-sacramento","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-santa-clara-san-jose","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-alameda-oakland","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ca-fresno-fresno","CA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"co-denver-denver","CO","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"co-jefferson-lakewood","CO","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"co-boulder-boulder","CO","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-miami-dade-miami","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-broward-fort-lauderdale","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-palm-beach-west-palm-beach","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-hillsborough-tampa","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-orange-orlando","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"fl-duval-jacksonville","FL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ga-fulton-atlanta","GA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ga-gwinnett-county","GA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-cook-chicago","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-cook-county","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-madison-granite-city","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-madison-county","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-madison-edwardsville","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-st-clair-belleville","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-sangamon-springfield","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-winnebago-rockford","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-kane-aurora","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-dupage-naperville","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"il-state","IL","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"nv-clark-las-vegas","NV","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"nv-clark-henderson","NV","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"nv-clark-north-las-vegas","NV","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"nv-washoe-reno","NV","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"nj-bergen-county","NJ","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"nj-essex-newark","NJ","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"nj-middlesex-county","NJ","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ny-new-york-nyc","NY","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ny-suffolk-county","NY","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ny-westchester-county","NY","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"nc-mecklenburg-charlotte","NC","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"nc-wake-raleigh","NC","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"tx-harris-houston","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"tx-dallas-dallas","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"tx-travis-austin","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"tx-bexar-san-antonio","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"tx-tarrant-fort-worth","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"tx-collin-plano","TX","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
"va-fairfax-county","VA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"va-arlington-county","VA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"va-richmond-richmond","VA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"wa-king-seattle","WA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"wa-king-county","WA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"wa-pierce-tacoma","WA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ma-suffolk-boston","MA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ma-middlesex-cambridge","MA","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"md-prince-georges-county","MD","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"md-baltimore-baltimore","MD","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"mn-ramsey-saint-paul","MN","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"or-multnomah-portland","OR","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"or-washington-hillsboro","OR","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"sc-charleston-charleston","SC","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"sc-richland-columbia","SC","36","36","SAME_VALUE_DIFFERENT_SOURCE"
"ut-salt-lake-salt-lake-city","UT","36","18","DIFFERENT_VALUE_DIFFERENT_SOURCE"
