jurisdictionId,jurisdictionName,state,rowNecValue,stateTableEdition,skeletonEdition,oldAttribution,actualOrigin,newCanonicalSourceClass,valueChangedByContainment,attributionChangedByContainment,category
"al-jefferson-birmingham","City of Birmingham Building Department","AL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"al-mobile-mobile","City of Mobile Building Inspections","AL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"al-madison-huntsville","City of Huntsville Permits & Inspections","AL","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-maricopa-phoenix","City of Phoenix Development Services","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-maricopa-scottsdale","City of Scottsdale Building Safety","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-maricopa-mesa","City of Mesa Development Services","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-maricopa-chandler","City of Chandler Building Safety","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-maricopa-tempe","City of Tempe Community Development","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-pima-tucson","City of Tucson Development Services","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"az-pima-county","Pima County Development Services","AZ","2020","2020","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","no","yes","FALSE_OPERATOR_ATTRIBUTION"
"ca-los-angeles-la","City of Los Angeles LADBS","CA","2023","2023","2020","operator-entry — ""was entered for this project by the operator""","route skeleton literal necVersion:'2020'","state-adoption-table (skeleton removed) or project-record-unprovenanced","yes","yes","FALSE_OPERATOR_ATTRIBUTION_VALUE_ALSO_CORRECTED"
