jurisdictionId,state,name,ahjNational,necVersions,jurisdictionTs,distinctValues,whichShips
"co-boulder-boulder","CO","City of Boulder Building Services","2020","2023","","2020|2023","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"il-cook-county","IL","Cook County Building & Zoning","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ny-new-york-nyc","NY","NYC Department of Buildings (DOB)","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"tx-travis-austin","TX","City of Austin Development Services","2020","2023","","2020|2023","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"id-ada-boise","ID","City of Boise Planning & Development Services","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"id-bonneville-idaho-falls","ID","City of Idaho Falls Building Division","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"id-canyon-nampa","ID","City of Nampa Building Services","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"mt-yellowstone-billings","MT","City of Billings Building Division","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"wy-laramie-cheyenne","WY","City of Cheyenne Building Division","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"nj-hudson-jersey-city","NJ","Jersey City Division of Building","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"nj-monmouth-county","NJ","Monmouth County Division of Engineering","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"nj-ocean-county","NJ","Ocean County Department of Planning","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"nj-camden-county","NJ","Camden County Board of Commissioners","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"pa-philadelphia-philadelphia","PA","City of Philadelphia Department of Licenses & Inspections","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"pa-allegheny-pittsburgh","PA","City of Pittsburgh Permits, Licenses & Inspections","2020","2017","","2020|2017","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-aleutians-east-aleutians-east-county","AK","Aleutians East County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-aleutians-west-aleutians-west-county","AK","Aleutians West County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-anchorage-anchorage-county","AK","Anchorage County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-bethel-bethel-county","AK","Bethel County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-bristol-bay-bristol-bay-county","AK","Bristol Bay County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-denali-denali-county","AK","Denali County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-dillingham-dillingham-county","AK","Dillingham County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-fairbanks-north-star-fairbanks","AK","City of Fairbanks Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-fairbanks-north-star-fairbanks-north-star-county","AK","Fairbanks North Star County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-haines-haines-county","AK","Haines County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-hoonah-angoon-hoonah-angoon-county","AK","Hoonah-Angoon County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-juneau-juneau","AK","City & Borough of Juneau Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-juneau-juneau-county","AK","Juneau County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-kenai-peninsula-kenai-peninsula-county","AK","Kenai Peninsula County Building Department","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
"ak-ketchikan-gateway-ketchikan","AK","City of Ketchikan Building Dept","2017","2020","","2017|2020","necVersions (state-adoption-table) — ahj-national is fallback-only and never adopts"
