id,state,name,necVersion,hasIdentity,permitAuthority,why
"al-jefferson-birmingham","AL","City of Birmingham Building Department","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"al-mobile-mobile","AL","City of Mobile Building Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"al-madison-huntsville","AL","City of Huntsville Permits & Inspections","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-maricopa-phoenix","AZ","City of Phoenix Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-maricopa-scottsdale","AZ","City of Scottsdale Building Safety","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-maricopa-mesa","AZ","City of Mesa Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-maricopa-chandler","AZ","City of Chandler Building Safety","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-maricopa-tempe","AZ","City of Tempe Community Development","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-pima-tucson","AZ","City of Tucson Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"az-pima-county","AZ","Pima County Development Services","2020","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-los-angeles-la","CA","City of Los Angeles LADBS","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-los-angeles-long-beach","CA","City of Long Beach Development Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-los-angeles-county","CA","LA County Building & Safety","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
"ca-san-diego-san-diego","CA","City of San Diego Development Services","2023","true","Local Building Department","no codeSourceUrl + codeRetrievedAtIso — every value on this row is unprovenanced"
