stableGovernmentId,canonicalName,stateFips,entityKind,countyFips,placeGeoid,cousubGeoid,plausibleBecause,delegationRuleId,solarProHasCandidate
"county:01001","Autauga County","01","county","01001","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-autauga-autauga-county"
"county:01003","Baldwin County","01","county","01003","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-baldwin-baldwin-county"
"county:01005","Barbour County","01","county","01005","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-barbour-barbour-county"
"county:01007","Bibb County","01","county","01007","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-bibb-bibb-county"
"county:01009","Blount County","01","county","01009","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-blount-blount-county"
"county:01011","Bullock County","01","county","01011","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-bullock-bullock-county"
"county:01013","Butler County","01","county","01013","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-butler-butler-county"
"county:01015","Calhoun County","01","county","01015","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-calhoun-calhoun-county"
"county:01017","Chambers County","01","county","01017","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-chambers-chambers-county"
"county:01019","Cherokee County","01","county","01019","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-cherokee-cherokee-county"
"county:01021","Chilton County","01","county","01021","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-chilton-chilton-county"
"county:01023","Choctaw County","01","county","01023","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-choctaw-choctaw-county"
"county:01025","Clarke County","01","county","01025","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-clarke-clarke-county"
"county:01027","Clay County","01","county","01027","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-clay-clay-county"
"county:01029","Cleburne County","01","county","01029","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-cleburne-cleburne-county"
"county:01031","Coffee County","01","county","01031","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-coffee-coffee-county"
"county:01033","Colbert County","01","county","01033","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-colbert-colbert-county"
"county:01035","Conecuh County","01","county","01035","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-conecuh-conecuh-county"
"county:01037","Coosa County","01","county","01037","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-coosa-coosa-county"
"county:01039","Covington County","01","county","01039","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-covington-covington-county"
"county:01041","Crenshaw County","01","county","01041","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-crenshaw-crenshaw-county"
"county:01043","Cullman County","01","county","01043","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-cullman-cullman-county"
"county:01045","Dale County","01","county","01045","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-dale-dale-county"
"county:01047","Dallas County","01","county","01047","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-dallas-dallas-county"
"county:01049","DeKalb County","01","county","01049","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-dekalb-dekalb-county"
"county:01051","Elmore County","01","county","01051","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-elmore-elmore-county"
"county:01053","Escambia County","01","county","01053","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-escambia-escambia-county"
"county:01055","Etowah County","01","county","01055","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-etowah-etowah-county"
"county:01057","Fayette County","01","county","01057","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-fayette-fayette-county"
"county:01059","Franklin County","01","county","01059","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-franklin-franklin-county"
"county:01061","Geneva County","01","county","01061","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-geneva-geneva-county"
"county:01063","Greene County","01","county","01063","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-greene-greene-county"
"county:01065","Hale County","01","county","01065","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-hale-hale-county"
"county:01067","Henry County","01","county","01067","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-henry-henry-county"
"county:01069","Houston County","01","county","01069","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-houston-houston-county"
"county:01071","Jackson County","01","county","01071","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-jackson-jackson-county"
"county:01073","Jefferson County","01","county","01073","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-jefferson-jefferson-county"
"county:01075","Lamar County","01","county","01075","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-lamar-lamar-county"
"county:01077","Lauderdale County","01","county","01077","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-lauderdale-lauderdale-county"
"county:01079","Lawrence County","01","county","01079","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-lawrence-lawrence-county"
"county:01081","Lee County","01","county","01081","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-lee-lee-county"
"county:01083","Limestone County","01","county","01083","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-limestone-limestone-county"
"county:01085","Lowndes County","01","county","01085","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-lowndes-lowndes-county"
"county:01087","Macon County","01","county","01087","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-macon-macon-county"
"county:01089","Madison County","01","county","01089","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-madison-madison-county"
"county:01091","Marengo County","01","county","01091","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-marengo-marengo-county"
"county:01093","Marion County","01","county","01093","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-marion-marion-county"
"county:01095","Marshall County","01","county","01095","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-marshall-marshall-county"
"county:01097","Mobile County","01","county","01097","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-mobile-mobile-county"
"county:01099","Monroe County","01","county","01099","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-monroe-monroe-county"
"county:01101","Montgomery County","01","county","01101","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-montgomery-montgomery-county"
"county:01103","Morgan County","01","county","01103","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-morgan-morgan-county"
"county:01105","Perry County","01","county","01105","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-perry-perry-county"
"county:01107","Pickens County","01","county","01107","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-pickens-pickens-county"
"county:01109","Pike County","01","county","01109","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-pike-pike-county"
"county:01111","Randolph County","01","county","01111","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-randolph-randolph-county"
"county:01113","Russell County","01","county","01113","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-russell-russell-county"
"county:01115","St. Clair County","01","county","01115","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-st-clair-st-clair-county"
"county:01117","Shelby County","01","county","01117","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-shelby-shelby-county"
"county:01119","Sumter County","01","county","01119","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-sumter-sumter-county"
"county:01121","Talladega County","01","county","01121","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-talladega-talladega-county"
"county:01123","Tallapoosa County","01","county","01123","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-tallapoosa-tallapoosa-county"
"county:01125","Tuscaloosa County","01","county","01125","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-tuscaloosa-tuscaloosa-county"
"county:01127","Walker County","01","county","01127","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-walker-walker-county"
"county:01129","Washington County","01","county","01129","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-washington-washington-county"
"county:01131","Wilcox County","01","county","01131","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-wilcox-wilcox-county"
"county:01133","Winston County","01","county","01133","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building","al-winston-winston-county"
"county:02013","Aleutians East Borough","02","borough","02013","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-aleutians-east-aleutians-east-county"
"county:02020","Anchorage Municipality","02","consolidated-government","02020","","","delegation policy names 'consolidated-government' for building permits in this state","baseline:incorporated-place-administers-building","ak-anchorage-anchorage-county"
"county:02060","Bristol Bay Borough","02","borough","02060","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-bristol-bay-bristol-bay-county"
"county:02068","Denali Borough","02","borough","02068","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-denali-denali-county"
"county:02090","Fairbanks North Star Borough","02","borough","02090","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-fairbanks-north-star-fairbanks-north-star-county"
"county:02100","Haines Borough","02","borough","02100","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-haines-haines-county"
"county:02110","Juneau City and Borough","02","consolidated-government","02110","","","delegation policy names 'consolidated-government' for building permits in this state","baseline:incorporated-place-administers-building","ak-juneau-juneau-county"
"county:02122","Kenai Peninsula Borough","02","borough","02122","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-kenai-peninsula-kenai-peninsula-county"
"county:02130","Ketchikan Gateway Borough","02","borough","02130","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-ketchikan-gateway-ketchikan-gateway-county"
"county:02150","Kodiak Island Borough","02","borough","02150","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-kodiak-island-kodiak-island-county"
"county:02164","Lake and Peninsula Borough","02","borough","02164","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-lake-and-peninsula-lake-and-peninsula-county"
"county:02170","Matanuska-Susitna Borough","02","borough","02170","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-matanuska-susitna-matanuska-susitna-county"
"county:02185","North Slope Borough","02","borough","02185","","","delegation policy names 'borough' for building permits in this state","baseline:county-administers-unincorporated-building","ak-north-slope-north-slope-county"
