stableGovernmentId,canonicalName,stateFips,entityKind,countyFips,placeGeoid,cousubGeoid,plausibleBecause,delegationRuleId,solarProHasCandidate
"county:12086","Miami-Dade County","12","county","12086","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:15001","Hawaii County","15","county","15001","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:15005","Kalawao County","15","county","15005","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:15009","Maui County","15","county","15009","","","delegation policy names 'county' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22001","Acadia Parish","22","county-equivalent","22001","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22003","Allen Parish","22","county-equivalent","22003","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22005","Ascension Parish","22","county-equivalent","22005","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22007","Assumption Parish","22","county-equivalent","22007","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22009","Avoyelles Parish","22","county-equivalent","22009","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22011","Beauregard Parish","22","county-equivalent","22011","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22013","Bienville Parish","22","county-equivalent","22013","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22015","Bossier Parish","22","county-equivalent","22015","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22017","Caddo Parish","22","county-equivalent","22017","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22019","Calcasieu Parish","22","county-equivalent","22019","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22021","Caldwell Parish","22","county-equivalent","22021","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22023","Cameron Parish","22","county-equivalent","22023","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22025","Catahoula Parish","22","county-equivalent","22025","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22027","Claiborne Parish","22","county-equivalent","22027","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22029","Concordia Parish","22","county-equivalent","22029","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22031","De Soto Parish","22","county-equivalent","22031","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22033","East Baton Rouge Parish","22","consolidated-government","22033","","","delegation policy names 'consolidated-government' for building permits in this state","baseline:incorporated-place-administers-building",""
"county:22035","East Carroll Parish","22","county-equivalent","22035","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22037","East Feliciana Parish","22","county-equivalent","22037","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22039","Evangeline Parish","22","county-equivalent","22039","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22041","Franklin Parish","22","county-equivalent","22041","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22043","Grant Parish","22","county-equivalent","22043","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22045","Iberia Parish","22","county-equivalent","22045","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22047","Iberville Parish","22","county-equivalent","22047","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22049","Jackson Parish","22","county-equivalent","22049","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22051","Jefferson Parish","22","county-equivalent","22051","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22053","Jefferson Davis Parish","22","county-equivalent","22053","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22055","Lafayette Parish","22","consolidated-government","22055","","","delegation policy names 'consolidated-government' for building permits in this state","baseline:incorporated-place-administers-building",""
"county:22057","Lafourche Parish","22","county-equivalent","22057","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22059","LaSalle Parish","22","county-equivalent","22059","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22061","Lincoln Parish","22","county-equivalent","22061","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22063","Livingston Parish","22","county-equivalent","22063","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22065","Madison Parish","22","county-equivalent","22065","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22067","Morehouse Parish","22","county-equivalent","22067","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22069","Natchitoches Parish","22","county-equivalent","22069","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22071","Orleans Parish","22","consolidated-government","22071","","","delegation policy names 'consolidated-government' for building permits in this state","baseline:incorporated-place-administers-building",""
"county:22073","Ouachita Parish","22","county-equivalent","22073","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22075","Plaquemines Parish","22","county-equivalent","22075","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22077","Pointe Coupee Parish","22","county-equivalent","22077","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22079","Rapides Parish","22","county-equivalent","22079","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22081","Red River Parish","22","county-equivalent","22081","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22083","Richland Parish","22","county-equivalent","22083","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22085","Sabine Parish","22","county-equivalent","22085","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22087","St. Bernard Parish","22","county-equivalent","22087","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22089","St. Charles Parish","22","county-equivalent","22089","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22091","St. Helena Parish","22","county-equivalent","22091","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22093","St. James Parish","22","county-equivalent","22093","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22095","St. John the Baptist Parish","22","county-equivalent","22095","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22097","St. Landry Parish","22","county-equivalent","22097","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22099","St. Martin Parish","22","county-equivalent","22099","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
"county:22101","St. Mary Parish","22","county-equivalent","22101","","","delegation policy names 'county-equivalent' for building permits in this state","baseline:county-administers-unincorporated-building",""
