# {"dataset":"US Census Bureau national geographic reference codes","vintage":"2020 Census (codes2020)"}
id	entityKind	canonicalName	stateFips	countyFips	placeGeoid	cousubGeoid	governmentStatus	governmentFunctionStatus	governmentClass	sourceKey
county:01001	county	Autauga County	01	01001			ACTIVE	A	H1	national_county2020:00161526
county:01003	county	Baldwin County	01	01003			ACTIVE	A	H1	national_county2020:00161527
county:01005	county	Barbour County	01	01005			ACTIVE	A	H1	national_county2020:00161528
county:01007	county	Bibb County	01	01007			ACTIVE	A	H1	national_county2020:00161529
county:01009	county	Blount County	01	01009			ACTIVE	A	H1	national_county2020:00161530
county:01011	county	Bullock County	01	01011			ACTIVE	A	H1	national_county2020:00161531
county:01013	county	Butler County	01	01013			ACTIVE	A	H1	national_county2020:00161532
county:01015	county	Calhoun County	01	01015			ACTIVE	A	H1	national_county2020:00161533
county:01017	county	Chambers County	01	01017			ACTIVE	A	H1	national_county2020:00161534
county:01019	county	Cherokee County	01	01019			ACTIVE	A	H1	national_county2020:00161535
county:01021	county	Chilton County	01	01021			ACTIVE	A	H1	national_county2020:00161536
county:01023	county	Choctaw County	01	01023			ACTIVE	A	H1	national_county2020:00161537
county:01025	county	Clarke County	01	01025			ACTIVE	A	H1	national_county2020:00161538
county:01027	county	Clay County	01	01027			ACTIVE	A	H1	national_county2020:00161539
county:01029	county	Cleburne County	01	01029			ACTIVE	A	H1	national_county2020:00161540
county:01031	county	Coffee County	01	01031			ACTIVE	A	H1	national_county2020:00161541
county:01033	county	Colbert County	01	01033			ACTIVE	A	H1	national_county2020:00161542
county:01035	county	Conecuh County	01	01035			ACTIVE	A	H1	national_county2020:00161543
county:01037	county	Coosa County	01	01037			ACTIVE	A	H1	national_county2020:00161544
county:01039	county	Covington County	01	01039			ACTIVE	A	H1	national_county2020:00161545
county:01041	county	Crenshaw County	01	01041			ACTIVE	A	H1	national_county2020:00161546
county:01043	county	Cullman County	01	01043			ACTIVE	A	H1	national_county2020:00161547
