id,url,status,content_type,ok,reason
sp-maxeon7-440,"https://cdn.prod.website-files.com/6627b4a16340c535bfabf896/668bef1148a5bfbf75c79fbe_Sunpower.pdf",200,"application/pdf",true,""
jinko-tiger-neo-580,"https://jinkosolar.us/wp-content/uploads/2023/06/30mm-EAGLE-72-G6B-JKM570-590N-72HL4-BDV-F30-F2-US-1.pdf",200,"application/pdf",true,""
cs-hiku7-600,"https://static.csisolar.com/wp-content/uploads/sites/9/2023/09/26110438/CS-Datasheet-HiKu7_CS7L-MS_v2.7_EN-1.pdf",200,"application/pdf",true,""
sp-maxeon6-400,"https://es-media-prod.s3.amazonaws.com/media/components/panels/spec-sheets/SunPower_A-Series.pdf",200,"application/pdf",true,""
longi-himo6-580,"https://www.longi.com/en/products/modules/hi-mo-6/",200,"text/html",true,"HTML response (product page?)"
se-7600h,"https://nwsolar.com/wp-content/uploads/2022/02/se-hd-wave-single-phase-inverter-with-setapp-datasheet-na.pdf",200,"application/pdf",true,""
se-10000h,"https://nwsolar.com/wp-content/uploads/2022/02/se-hd-wave-single-phase-inverter-with-setapp-datasheet-na.pdf",200,"application/pdf",true,""
pan-evervolt-410,"https://na.panasonic.com/us/energy-products-solutions/solar/evervolt-solar-panels",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
qcells-peak-duo-400,"https://cdn.myced.com/images/Products/ZZ0000/ZZ3048/00000/ZZ304800232_DS.pdf",200,"application/pdf",true,""
se-3800h,"https://nwsolar.com/wp-content/uploads/2022/02/se-hd-wave-single-phase-inverter-with-setapp-datasheet-na.pdf",200,"application/pdf",true,""
se-6000h,"https://nwsolar.com/wp-content/uploads/2022/02/se-hd-wave-single-phase-inverter-with-setapp-datasheet-na.pdf",200,"application/pdf",true,""
se-11400h,"https://nwsolar.com/wp-content/uploads/2022/02/se-hd-wave-single-phase-inverter-with-setapp-datasheet-na.pdf",200,"application/pdf",true,""
rec-alpha-pure-430,"https://www.recgroup.com/sites/default/files/2025-01/Web_DS%20REC%20Alpha%20Pure%202%20UL_EN%20US%2012122024.pdf",200,"application/pdf",true,""
silfab-sil430,"https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Modules/Silfab/Silfab-SIL-430-QD.pdf",200,"application/pdf",true,""
sma-sb-7.7,"https://files.sma.de/downloads/SBxx-US-DS-en-41.pdf",200,"application/pdf",true,""
sma-sb-5.0,"https://files.sma.de/downloads/SBxx-US-DS-en-41.pdf",200,"application/pdf",true,""
sma-sb-10.0,"https://s3.amazonaws.com/ecodirect_docs/SMA/SunnyBoy_TL-US.pdf",200,"application/pdf",true,""
goodwe-gw5000-ns,"https://en.goodwe.com/Ftp/EN/Downloads/Datasheet/GW_DNS_Datasheet-EN.pdf",200,"application/pdf",true,""
fronius-primo-8.2,"https://www.fronius.com/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Primo_UL_EN_CA.pdf",200,"application/octet-stream",true,""
fronius-primo-10.0,"https://www.fronius.com/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Primo_UL_EN_CA.pdf",200,"application/octet-stream",true,""
fronius-primo-5.0,"https://www.fronius.com/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Primo_UL_EN_CA.pdf",200,"application/octet-stream",true,""
goodwe-gw10k-ms,"https://en.goodwe.com/Ftp/EN/Downloads/Datasheet/GW_MS-US_Datasheet-EN.pdf",200,"application/pdf",true,""
fronius-primo-7.6,"https://www.fronius.com/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Primo_UL_EN_CA.pdf",200,"application/octet-stream",true,""
enphase-iq8plus,"https://enphase.com/store/microinverters/iq8-series",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
enphase-iq8m,"https://enphase.com/store/microinverters/iq8-series",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
enphase-iq8h,"https://enphase.com/store/microinverters/iq8-series",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
solark-15k-2p,"https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0001-002-15K-2P-N-EN-Datasheet.pdf",200,"application/pdf",true,""
solark-12k-2p,"https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0003-002-12K-2P-N-EN-Datasheet.pdf",200,"application/pdf",true,""
solark-8k-2p,"https://www.sol-ark.com/wp-content/uploads/2024/06/SK150-0005-002-8K-2P-N-EN-Datasheet.pdf",200,"application/pdf",true,""
enphase-iq8a,"https://enphase.com/store/microinverters/iq8-series",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
solark-30k-3p-208v,"https://www.sol-ark.com/wp-content/uploads/2024/05/SK150-0017-004_30K-3P-208V-datasheet.pdf",200,"application/pdf",true,""
enphase-iq8ac,"https://enphase.com/store/microinverters/iq8-series",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
hoymiles-hms-800w-2t,"https://cdn.myced.com/images/Products/ZZ0000/ZZ3066/00000/ZZ306600032_DS.pdf",200,"application/pdf",true,""
apsystems-ds3s,"https://usa.apsystems.com/products/ds3/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
apsystems-ds3l,"https://usa.apsystems.com/products/ds3/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
apsystems-ds3,"https://usa.apsystems.com/products/ds3/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
apsystems-ez1-m,"https://usa.apsystems.com/products/ez1/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
se-p401,"https://krannich-solar.com/fileadmin/user_upload/IND/Datasheets/SolarEdge/Datasheet_power-optimizer-1-1_se-p-series-module-add-on-row.pdf",200,"application/pdf",true,""
tigo-ts4-a-o,"https://www.tigoenergy.com/ts4",200,"text/html; charset=utf-8",true,"HTML response (product page?)"
tigo-ts4-a-2o,"https://www.tigoenergy.com/ts4",200,"text/html; charset=utf-8",true,"HTML response (product page?)"
se-p850,"https://krannich-solar.com/fileadmin/user_upload/IND/Datasheets/SolarEdge/Datasheet_power-optimizer-1-1_se-p-series-module-add-on-row.pdf",200,"application/pdf",true,""
trina-vertex-s-435,"https://www.trinasolar.com/en-glb/product/vertex-s-plus",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
snapnrack-100,"https://cdn.myced.com/images/Products/ZZ0000/ZZ0849/00000/ZZ084900061_DS.pdf",200,"application/pdf",true,""
se-p505,"https://krannich-solar.com/fileadmin/user_upload/IND/Datasheets/SolarEdge/Datasheet_power-optimizer-1-1_se-p-series-module-add-on-row.pdf",200,"application/pdf",true,""
se-p320,"https://krannich-solar.com/fileadmin/user_upload/IND/Datasheets/SolarEdge/Datasheet_power-optimizer-1-1_se-p-series-module-add-on-row.pdf",200,"application/pdf",true,""
se-p730,"https://krannich-solar.com/fileadmin/user_upload/IND/Datasheets/SolarEdge/Datasheet_power-optimizer-1-1_se-p-series-module-add-on-row.pdf",200,"application/pdf",true,""
quickmount-classic,"https://files.ironridge.com/quickmount/QMPV-datasheet-QMSC-ClassicComp-web.pdf",200,"application/pdf",true,""
tesla-powerwall-3,"https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/3/Datasheet/en-us/Powerwall-3-Datasheet.pdf",200,"application/pdf",true,""
s5-pvkit,"https://www.s-5.com/products/pvkit/",200,"text/html; charset=UTF-8",true,"HTML response (product page?)"
enphase-iq-battery-5p,"https://assets.ctfassets.net/k6ot5nj1c6f9/2nqAdKtPMi5IirhnfQMeH3/58f82b1f4342baee1df92a71a6fe0b5b/IQ_Battery-5P-DSH-00010-2.0-EN-US-2023-07-26__1_.pdf",200,"application/pdf",true,""
rooftech-mini,"https://design.roof-tech.us/PDF/Brochures/Mini_II_Brochure.pdf",200,"application/pdf",true,""
enphase-iq-battery-10t,"https://enphase.com/sites/default/files/2021-10/IQ-Battery-10T-DS-EN-US-10-19-2021.pdf",200,"application/pdf",true,""
generac-pwrcell-9,"https://www.generac.com/globalassets/residential/dealers--installers/generac-installer-programs/solar--battery-installer-support/pc2batterycabinet_specguide.pdf",200,"application/pdf",true,""
solaredge-home-battery-10,"https://krannich-solar.com/fileadmin/user_upload/US/Datasheets/Inverters/SolarEdge/se-solaredge-home-battery-made-in-the-usa-datasheet-nam.pdf",200,"application/pdf",true,""
generac-pwrcell-17,"https://www.generac.com/globalassets/residential/dealers--installers/generac-installer-programs/solar--battery-installer-support/pc2batterycabinet_specguide.pdf",200,"application/pdf",true,""
generac-guardian-22kw,"https://www.generac.com/globalassets/products/residential/standby-generators/spec-sheets/20-24kw-guardian-standby-generator-specsheet.pdf",200,"application/pdf",true,""
generac-guardian-24kw,"https://www.generac.com/globalassets/products/residential/standby-generators/spec-sheets/20-24kw-guardian-standby-generator-specsheet.pdf",200,"application/pdf",true,""
enphase-iq-battery-3t,"https://enphase.com/sites/default/files/2021-10/IQ-Battery-3T-DS-EN-US-10-19-2021.pdf",200,"application/pdf",true,""
generac-guardian-18kw,"https://www.generac.com/globalassets/products/residential/standby-generators/brochure/10-26kw_hsb_brochure.pdf",200,"application/pdf",true,""
generac-rxsw200a3,"https://www.generac.com/globalassets/products/residential/standby-generator-transfer-switches/automatic-transfer-switches/spec-sheets/rxsc100a3-200a3_rxsw100a3-150a3-200a3_specsheet.pdf",200,"application/pdf",true,""
generac-guardian-26kw,"https://www.generac.com/globalassets/products/residential/standby-generators/spec-sheets/g007290-g007291-26kw-guardian-res-standby-generator-specsheet.pdf",200,"application/pdf",true,""
tesla-powerwall-2,"https://energylibrary.tesla.com/docs/Public/EnergyStorage/Powerwall/2/Datasheet/en-us/Powerwall-2-Datasheet.pdf",200,"application/pdf",true,""
generac-rxsw100a3,"https://www.generac.com/globalassets/products/residential/standby-generator-transfer-switches/automatic-transfer-switches/spec-sheets/rxsc100a3-200a3_rxsw100a3-150a3-200a3_specsheet.pdf",200,"application/pdf",true,""
