id,manufacturer,model,category,file,hasDatasheet,datasheetUrl,ecosystemBrand
"sp-maxeon7-440","SunPower","Maxeon 7 440W","solar_panel","equipment-db.ts","yes","https://us.sunpower.com/sites/default/files/maxeon-7-datasheet.pdf",""
"sp-maxeon6-400","SunPower","Maxeon 6 400W","solar_panel","equipment-db.ts","yes","https://us.sunpower.com/sites/default/files/maxeon-6-datasheet.pdf",""
"rec-alpha-pure-430","REC Group","Alpha Pure-R 430W","solar_panel","equipment-db.ts","yes","https://www.recgroup.com/sites/default/files/documents/ds_rec_alpha_pure-r_us.pdf",""
"pan-evervolt-410","Panasonic","EverVolt HK Black 410W","solar_panel","equipment-db.ts","yes","https://na.panasonic.com/us/energy-products-solutions/solar/evervolt-solar-panels",""
"jinko-tiger-neo-580","Jinko Solar","Tiger Neo N-type 580W","solar_panel","equipment-db.ts","yes","https://www.jinkosolar.com/en/site/getFile?fileId=1",""
"cs-hiku7-600","Canadian Solar","HiKu7 Bifacial 600W","solar_panel","equipment-db.ts","yes","https://www.canadiansolar.com/hiku7/",""
"longi-himo6-580","LONGi Solar","Hi-MO 6 580W","solar_panel","equipment-db.ts","yes","https://www.longi.com/en/products/modules/hi-mo-6/",""
"trina-vertex-s-435","Trina Solar","Vertex S+ 435W","solar_panel","equipment-db.ts","yes","https://www.trinasolar.com/en-glb/product/vertex-s-plus",""
"qcells-peak-duo-400","Q CELLS","Q.PEAK DUO BLK ML-G10+ 400W","solar_panel","equipment-db.ts","yes","https://www.q-cells.us/products/q-peak-duo-blk-ml-g10-plus.html",""
"silfab-sil430","Silfab Solar","SIL-430 BG","solar_panel","equipment-db.ts","yes","https://silfabsolar.com/sil-430-bg/",""
"panel-fence-ps1","Philadelphia Solar","Nexus PS-MNB108(HCBF)-440W","solar_panel","equipment-db.ts","yes","https://www.philadelphiasolar.com/products/nexus",""
"se-7600h","SolarEdge","SE7600H-US","string_inverter","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-hd-wave-single-phase-inverter-datasheet-na.pdf","solaredge"
"se-10000h","SolarEdge","SE10000H-US","string_inverter","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-hd-wave-single-phase-inverter-datasheet-na.pdf","solaredge"
"fronius-primo-7.6","Fronius","Primo 7.6-1","string_inverter","equipment-db.ts","yes","https://www.fronius.com/en-us/usa/photovoltaics/products/all-products/inverters/fronius-primo/fronius-primo-7-6-1","fronius"
"sma-sb-7.7","SMA","Sunny Boy 7.7-US","string_inverter","equipment-db.ts","yes","https://www.sma-america.com/products/solarinverters/sunny-boy-us.html","sma"
"sungrow-sg10rs","Sungrow","SG10RS","string_inverter","equipment-db.ts","yes","https://www.sungrowpower.com/products/inverter/sg10rs","sungrow"
"se-3800h","SolarEdge","SE3800H-US","string_inverter","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-hd-wave-single-phase-inverter-datasheet-na.pdf","solaredge"
"se-6000h","SolarEdge","SE6000H-US","string_inverter","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-hd-wave-single-phase-inverter-datasheet-na.pdf","solaredge"
"se-11400h","SolarEdge","SE11400H-US","string_inverter","equipment-db.ts","yes","https://www.solaredge.com/sites/default/files/se-hd-wave-single-phase-inverter-datasheet-na.pdf","solaredge"
